Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
RegistroUsuario,Chrome 72.0.3626.121,,2019-03-13 15:46:00,2019-03-13 15:46:24,23.200s,PASSED
,,,,,,
Test Cases/RegisterNewUser/NewUser,Chrome 72.0.3626.121,,2019-03-13 15:46:01,2019-03-13 15:46:23,21.293s,PASSED
"openBrowser(""https://mario.chazki.com/#/"")",Chrome 72.0.3626.121,,2019-03-13 15:46:03,2019-03-13 15:46:19,15.976s,PASSED
"click(findTestObject(""NewUser/strong_registrate aqu""))",Chrome 72.0.3626.121,,2019-03-13 15:46:19,2019-03-13 15:46:19,0.206s,PASSED
"setText(findTestObject(""NewUser/nombre""), ""kanu"")",Chrome 72.0.3626.121,,2019-03-13 15:46:19,2019-03-13 15:46:20,0.268s,PASSED
"setText(findTestObject(""NewUser/Apellidos""), ""kanu"")",Chrome 72.0.3626.121,,2019-03-13 15:46:20,2019-03-13 15:46:20,0.183s,PASSED
"setText(findTestObject(""NewUser/Telefono""), ""999046712"")",Chrome 72.0.3626.121,,2019-03-13 15:46:20,2019-03-13 15:46:20,0.230s,PASSED
"setText(findTestObject(""NewUser/Correo""), ""kanu@gmail.com"")",Chrome 72.0.3626.121,,2019-03-13 15:46:20,2019-03-13 15:46:20,0.257s,PASSED
"setText(findTestObject(""NewUser/contrasena""), ""tutu102"")",Chrome 72.0.3626.121,,2019-03-13 15:46:20,2019-03-13 15:46:20,0.189s,PASSED
"setText(findTestObject(""NewUser/repetir_contrasena""), ""tutu102"")",Chrome 72.0.3626.121,,2019-03-13 15:46:20,2019-03-13 15:46:21,0.216s,PASSED
"click(findTestObject(""NewUser/button_Guardar""))",Chrome 72.0.3626.121,,2019-03-13 15:46:21,2019-03-13 15:46:21,0.155s,PASSED
